driverId,week,hours-logged,miles-logged
106,24,60,3800
95,4,74,2200
24,21,71,100
92,34,52,2200
49,39,78,3100
36,18,68,2700
13,50,54,1900
35,11,66,3900
85,14,60,500
65,12,72,3000
77,37,67,3100
70,39,80,3300
26,46,68,2900
93,9,68,3200
108,50,71,1200
106,46,78,3800
45,42,72,1400
43,27,51,1200
69,16,78,1000
31,21,64,400
88,48,54,2700
93,43,54,3500
82,24,62,1700
70,34,58,500
77,31,71,700
46,36,64,1400
72,45,58,2900
83,30,78,2900
101,17,66,700
63,37,65,1000
49,34,53,2300
10,43,75,400
57,13,80,700
20,41,66,4000
95,15,67,2100
88,46,62,3600
38,47,55,2400
88,14,54,1400
65,17,67,3500
75,11,54,2200
46,8,77,0
107,36,65,3100
100,14,63,3400
35,33,71,3200
40,9,68,1700
48,10,73,3400
63,30,75,0
49,2,78,2800
85,51,59,4000
65,11,62,3500
43,26,67,100
40,30,77,2600
43,23,56,2900
39,10,54,3500
47,34,75,3700
76,1,56,3600
54,43,74,3400
57,1,55,1600
50,20,59,300
91,49,80,2000
101,33,51,1600
21,52,69,100
61,19,63,3700
77,20,51,2800
46,6,69,600
105,45,57,1300
87,1,57,1300
61,42,77,3800
27,51,76,1200
34,33,69,1500
16,15,78,3700
82,13,72,2000
13,15,70,1600
14,22,57,1700
29,27,73,1500
66,48,65,3600
60,44,79,3800
69,20,55,2700
15,23,72,1000
109,17,73,4000
63,6,68,400
52,24,52,2100
66,50,76,500
47,51,55,2100
13,8,60,1400
53,19,57,500
38,22,54,900
102,15,53,300
57,13,71,3800
23,21,57,2700
81,39,61,3700
108,1,78,2900
26,1,65,2100
27,25,80,1400
29,23,59,4000
87,5,76,2000
101,22,76,2500
76,33,55,1200
91,25,68,100
92,9,69,2300
100,22,67,1300
21,49,80,800
22,29,62,1100
108,9,71,1000
49,13,54,1500
95,9,76,700
61,37,75,800
13,52,78,3600
35,31,58,1400
15,52,75,1300
89,2,59,0
94,23,58,3300
97,16,61,2100
98,38,68,1800
72,37,76,500
48,5,56,3400
81,28,63,0
47,25,50,3500
63,6,50,900
66,36,59,2900
109,41,64,1000
65,43,70,3400
63,11,67,1800
49,15,58,2400
40,41,80,4000
51,12,65,1700
17,28,79,2300
86,28,65,3800
54,19,80,4000
86,50,64,1000
84,33,68,2500
49,46,68,2900
48,16,60,600
41,49,62,2700
30,48,67,3300
86,3,66,3500
97,18,71,2800
38,6,80,1300
63,28,63,2800
10,12,80,3600
72,1,76,800
83,25,55,2100
90,13,51,3200
23,19,69,3900
56,37,56,300
88,10,78,2300
59,46,53,3400
